source_fare,time_diff
4315,66600929000000
1706,66600847000000
1877,1967400712000000
4781,153309593000000
4781,153309528000000
2565,-19490863000000
4465,66604424000000
5148,930604312000000
2612,585309916000000
2970,239709756000000
8298,10434603355000000
3268,66602975000000
1692,413715573000000
4309,68115508000000
3790,498605279000000
2578,153004919000000
2662,243097344000000
4311,-19792105000000
3255,-19797636000000
3232,325797390000000
2037,325797334000000
2619,239397118000000
5706,239396703000000
2801,325793480000000
3522,1708193072000000
2393,5596193020000000
2393,5596192648000000
1458,239391239000000
8203,5077790717000000
3750,6719390682000000
2718,66600414000000
3618,-19799632000000
2636,239399879000000
2192,-19805832000000
2821,66594077000000
2148,66593686000000
914,15013799135000000
2619,239398657000000
2245,498596124000000
2042,1362595766000000
3092,1448997915000000
2082,930597721000000
2393,5596192245000000
4253,239389350000000
1458,239389256000000
2706,239389027000000
4321,66588943000000
3255,-19811156000000
2612,584986304000000
3395,152985784000000
1268,671385731000000
2321,671385660000000
3417,671385574000000
3735,-19815226000000
3092,5164184700000000
2042,2226584546000000
5702,5595857271000000
1340,239057052000000
5702,5595856756000000
2277,1016987197000000
3894,6719386606000000
3647,-19818537000000
3417,671380957000000
9900,66589875000000
2846,152989572000000
1875,844183110000000
4321,66588340000000
2106,1362251246000000
4465,66251048000000
1397,325450955000000
1078,1275850906000000
3055,930247385000000
2414,-20152650000000
8835,3349447033000000
2364,411846518000000
3049,66246288000000
2748,325446007000000
8835,3349445438000000
3383,1016648829000000
2550,-20151574000000
2082,671054348000000
3186,5077453581000000
2686,7928643615000000
3268,66243460000000
2358,671045327000000
1625,3781450058000000
3186,5077455827000000
2748,325443346000000
2144,498243093000000
8835,3349443006000000
3044,2658242936000000
3591,152642589000000
3522,66240307000000
2033,-20159815000000
2830,239039793000000
3243,66239586000000
1778,-20160451000000
3277,498242095000000
2098,66241930000000
3399,152641405000000
3522,1707835042000000
4319,66234939000000
2263,239034583000000
1637,671038969000000
3243,66238844000000
3263,66238792000000
2081,2053434309000000
2870,1103033353000000
4226,66236939000000
2698,930236816000000
3033,1103038213000000
3032,1448637365000000
3522,1707840929000000
5610,5336627193000000
3459,8187827155000000
3501,12853426983000000
2636,239026400000000
2356,2053430291000000
2114,498229756000000
3044,2658229665000000
3417,671029416000000
1698,325430963000000
3318,2399030653000000
2836,152630614000000
3035,930230471000000
1395,498224045000000
1461,239023621000000
1461,239023413000000
2196,152633024000000
3728,3263032718000000
2265,411827958000000
3268,66227812000000
2578,152631589000000
2042,2226229095000000
6333,498225778000000
3690,584614284000000
2272,66214063000000
4367,239013951000000
3522,1362213916000000
3522,1362213844000000
4353,325413434000000
2698,-20178814000000
3667,5941420966000000
2865,1967020523000000
6164,66220462000000
890,1707820410000000
2081,1016615238000000
3447,3695015062000000
3064,1362214556000000
2272,66214363000000
1864,1275816041000000
2437,3263015976000000
5932,3349415619000000
2123,757415376000000
1523,-20179843000000
6164,66219809000000
2403,843819653000000
2364,66219538000000
5086,843817081000000
3547,7496617045000000
2081,66216834000000
3035,930223275000000
2033,-20176988000000
2718,66222907000000
5104,66221771000000
3049,-20182116000000
4807,-21546142000000
2364,410453757000000
2442,3261653450000000
1922,151259974000000
2343,2656859518000000
6287,-21540566000000
4173,324056793000000
2755,2656856154000000
1373,324055315000000
2836,151255022000000
2836,151254882000000
2704,410454780000000
6069,66213240000000
1438,66212908000000
2698,1274460192000000
2836,496858978000000
2715,64857264000000
4399,2656846888000000
2779,151246733000000
3417,-21553351000000
4559,237646615000000
3417,-21553523000000
2083,64846283000000
2364,64848920000000
3368,237648748000000
3646,324048650000000
6651,4989648199000000
5615,4557648158000000
4880,2743249938000000
2364,64849440000000
5225,2656849387000000
3575,-21550654000000
5112,4903251873000000
1692,64851757000000
2704,410451687000000
3949,151247608000000
4286,3780047576000000
3417,-21552764000000
3890,756050927000000
4559,237650457000000
3358,151250326000000
3034,64845823000000
2785,842445208000000
1273,64845065000000
2353,64843514000000
2364,64843431000000
2351,151243339000000
2836,151252743000000
3256,496852425000000
3839,64835886000000
3186,5076035575000000
4367,928835264000000
3234,-21564779000000
4011,-21564989000000
2114,151242916000000
6706,5853642743000000
3417,-21557452000000
2148,669642139000000
2148,64842010000000
3876,64841837000000
2351,151241307000000
3786,-21558743000000
2148,5335241014000000
4367,928834525000000
4367,928834461000000
2715,64834362000000
5057,3261634184000000
2881,1101636103000000
2715,64835927000000
3132,237640842000000
3786,-21559474000000
5414,-21560628000000
3950,64839299000000
1779,496833797000000
3533,237637258000000
2015,3261627757000000
2032,324027267000000
6736,5853627049000000
6736,5853626957000000
3034,64826861000000
1493,1879225312000000
5057,3261625250000000
1476,237625091000000
3880,1447224993000000
2573,5248824242000000
6581,324024185000000
2114,151224038000000
2490,-21568517000000
2351,151230927000000
8098,5076026273000000
3859,64826013000000
8096,5076028809000000
2533,64828641000000
2715,1533632149000000
3263,64830591000000
4465,64829552000000
3243,64820777000000
2830,1360820735000000
6570,3348020465000000
4807,-21579971000000
6581,324023479000000
3459,4989622950000000
7577,4125617777000000
1922,324016974000000
1093,496818183000000
5615,4557618023000000
2995,324022581000000
2081,669621921000000
9050,5162416724000000
2715,64816216000000
4807,-21580650000000
1778,64819280000000
7412,3002421793000000
4263,496815069000000
3950,151210736000000
2123,756010220000000
3533,237610105000000
3181,410409803000000
1291,842414207000000
2532,1188014138000000
2094,64814045000000
2910,64813837000000
3760,1533607463000000
3044,2656807432000000
4587,3348007318000000
1273,64812703000000
2910,64811959000000
2614,-21588177000000
3035,928813717000000
5414,-21587194000000
2364,64806512000000
2614,-21593883000000
2445,842411695000000
2351,64811480000000
5610,5335208781000000
2356,1274407866000000
2364,64802315000000
1747,669602212000000
3268,64802155000000
1673,-21598229000000
1820,324005727000000
3695,237605556000000
2732,151205204000000
3254,151204912000000
2578,1015204351000000
4880,2743204144000000
2732,151203934000000
2364,64801401000000
3911,1015200812000000
2865,1965600746000000
2549,237603360000000
4871,151203233000000
2351,410402890000000
3911,928798945000000
2364,151198729000000
2698,1274397985000000
1890,1965597729000000
1915,496797580000000
3256,496796854000000
3880,1447199831000000
5154,928793704000000
2364,64793585000000
1325,64793065000000
2100,323993010000000
2755,2656792938000000
2525,1879192830000000
2364,64787322000000
2445,842387281000000
3752,842387230000000
1779,-21612822000000
1922,237586988000000
4836,323995629000000
3908,2138395406000000
1325,64795300000000
2100,323989227000000
3131,669589063000000
2032,323988788000000
4948,-21608164000000
1518,151191730000000
2100,410388677000000
2221,237587847000000
3486,237591626000000
2728,64796100000000
1763,-21609763000000
1078,1619985594000000
3164,64785359000000
2095,1533585226000000
3540,4557585115000000
2364,151185034000000
1922,151184976000000
2364,151184808000000
2532,1187984704000000
1265,669578542000000
5260,1274378434000000
4169,5767178379000000
7572,4989578271000000
11893,64778218000000
1922,151177970000000
3585,-21616411000000
2309,1360783470000000
3573,1533582797000000
2619,237582704000000
2381,583179528000000
2071,2743179455000000
2364,151179157000000
1922,151178930000000
2698,-21619975000000
4599,323979893000000
6570,3347979811000000
1779,-21620225000000
1809,1360782280000000
6672,3175182250000000
3032,237584537000000
3024,237584443000000
2351,64786295000000
1922,64781303000000
2081,669576510000000
2364,151176355000000
3533,237576213000000
3296,151175939000000
4214,3261575821000000
4011,-21626420000000
2364,64773282000000
1692,64773173000000
2081,669572701000000
4449,3520774606000000
4105,410374318000000
3531,-21626039000000
2364,151175547000000
4169,5767175378000000
4105,410374953000000
4011,-21627825000000
3950,64771983000000
4098,4211971771000000
1658,2397570218000000
2186,64769903000000
2182,583169755000000
2353,64771521000000
3417,-21628948000000
3268,64770971000000
2123,755977196000000
1922,323976639000000
2865,410369319000000
1518,151168669000000
1855,842361543000000
1340,237561460000000
3181,410361114000000
1779,-21639023000000
2532,64760940000000
2885,1447160770000000
2635,-21639390000000
2635,-21640450000000
1922,64759115000000
3044,64759057000000
1855,842359023000000
2698,928758887000000
2516,1447158685000000
2516,1447158649000000
1078,1619966519000000
1078,1619966428000000
3256,496766385000000
2704,410366318000000
1078,1619966270000000
2834,4903165612000000
1078,1619967395000000
9050,5162367237000000
2865,410367127000000
3531,-21633030000000
4807,-21633367000000
6741,237560347000000
3044,64760284000000
2779,-21639751000000
2516,1447159583000000
2865,410368364000000
2203,-21631797000000
3950,64767978000000
2865,410367735000000
2098,64764307000000
2635,-21635985000000
2635,-21636292000000
3531,-21634460000000
3752,842364922000000
2032,323962848000000
2098,64753365000000
3531,-21646670000000
1578,496753268000000
2910,64752858000000
7729,237551301000000
2133,-21648892000000
3202,64750539000000
1845,151148467000000
4581,64748364000000
3417,-21652428000000
1701,2138352260000000
2114,2051952148000000
2364,64751871000000
5116,4730355296000000
1688,323954745000000
1922,237554404000000
2032,323953699000000
6008,5075950055000000
2779,-21650139000000
1695,151158106000000
1265,928757407000000
5154,928745208000000
4214,3261545136000000
2198,151145086000000
2873,2483944879000000
2707,755944550000000
5911,5075942015000000
3826,323941847000000
7729,237541627000000
1747,669541542000000
3576,237539322000000
3417,-21660734000000
2533,151138698000000
3880,1447138498000000
1747,496746480000000
3044,64746189000000
3417,-21654172000000
5329,3175145518000000
5172,-21656576000000
1821,583143243000000
4214,3261542964000000
4214,3261542852000000
1763,-21652635000000
1845,151147088000000
4550,842346510000000
3826,323944433000000
1478,669544310000000
3395,151143489000000
1888,151140413000000
1915,496740373000000
2614,64739906000000
5911,5075941383000000
3044,64740708000000
5363,4816738426000000
7729,237538381000000
3417,-21662030000000
6628,3520737934000000
2425,1533537573000000
6332,5162337501000000
3044,2656737404000000
2353,2656737294000000
2549,237537148000000
2934,237536794000000
9544,5075931045000000
3486,237530879000000
1922,323930454000000
3273,4471132777000000
15416,64732632000000
2108,928732602000000
3742,5767132379000000
3888,237531792000000
3696,323931470000000
1518,669530172000000
4799,64729900000000
2353,64729831000000
4337,2829535533000000
2353,64735460000000
2237,496735350000000
11893,64734796000000
3164,496733655000000
2364,64727279000000
2073,755927249000000
2073,755927120000000
2343,2656726970000000
2351,64726891000000
1701,2570326540000000
1701,2656726437000000
1854,842329362000000
1518,669529233000000
3034,64728666000000
8407,5075928634000000
1854,410328595000000
1476,237525383000000
2779,-21675176000000
2364,151124780000000
2038,1533524420000000
2364,64723325000000
2343,2656723291000000
2779,-21676983000000
2410,410322866000000
1821,64721360000000
1865,1619921094000000
3024,237520536000000
2038,1015128232000000
3032,237527591000000
4893,4989522337000000
9544,5075921764000000
3844,1101525697000000
3034,64724296000000
4449,3520715343000000
3044,64715226000000
1926,1533515150000000
2715,1619915033000000
3786,-21685474000000
2993,4298318254000000
1764,-21682085000000
3623,4989517882000000
3044,64717646000000
1764,-21682496000000
1749,1274320254000000
1571,410319809000000
2353,64719428000000
1518,583119388000000
4214,3261516204000000
2081,1274315962000000
1265,669515782000000
3228,3347915657000000
1518,583118738000000
3087,2224718652000000
3888,237518386000000
3755,3693512329000000
2765,1360711384000000
4453,5248716778000000
5009,323913473000000
2122,237512429000000
3044,64708314000000
3668,1879108132000000
3132,237508055000000
2842,928707713000000
2203,-21692432000000
1478,669507498000000
3044,64711096000000
5693,496711003000000
2223,5162310737000000
3044,64710621000000
1926,64708819000000
3044,64708784000000
3950,64708546000000
4444,237508444000000
1078,1619904976000000
1706,64704461000000
1854,410304390000000
1566,237506307000000
2698,-21694430000000
3950,64705480000000
1068,1792703248000000
1078,1619903028000000
1265,928702788000000
4066,237504288000000
2830,1360703896000000
3296,151109984000000
2547,323907314000000
1326,2483895240000000
4057,5248695113000000
2364,64694932000000
1683,151094614000000
2042,669494332000000
1799,583097061000000
2516,1447096632000000
3234,-21703569000000
1799,151096372000000
2698,-21703821000000
6052,1015095743000000
7572,4989495464000000
1078,1619902086000000
2779,-21698463000000
2830,1360701430000000
2698,1447099718000000
2978,237499583000000
2547,323899499000000
2516,1447097813000000
2516,1447097769000000
3727,5335097419000000
2635,-21699324000000
2549,1619900468000000
11893,64699205000000
3044,64699160000000
4836,323893348000000
2614,64685023000000
2490,-21715133000000
2133,-21715339000000
5303,5767084456000000
2925,669484374000000
5414,-21715692000000
3039,410291107000000
2695,2656690972000000
3064,2570290542000000
2779,-21709600000000
2198,151086886000000
8407,5075886664000000
2114,496686322000000
2114,496692153000000
5911,5075891482000000
4057,5421491419000000
3533,237489957000000
9319,237489829000000
6008,5075889720000000
3752,842286113000000
3164,64685912000000
3221,64685859000000
1273,410293094000000
2239,3347892868000000
3368,237487781000000
3368,237487326000000
3684,64688905000000
2110,583083162000000
2032,323883111000000
3890,755883081000000
1778,64683050000000
2873,2483882867000000
3890,755882263000000
5414,-21721936000000
4278,928677932000000
2024,2656677769000000
8044,5767077622000000
4919,-21722540000000
7055,3347881066000000
2525,1360681002000000
3540,4557480831000000
5911,5075880755000000
5748,928680540000000
2410,410277181000000
2578,1015077088000000
2755,1360676615000000
3300,323876440000000
2081,64676183000000
2081,64676010000000
2081,64675842000000
6628,3520675801000000
2865,1965475390000000
2133,-21720205000000
2490,-21720358000000
2698,-21720450000000
5007,64679214000000
1886,64678842000000
3497,1015078753000000
8044,5767078578000000
3890,755882009000000
1821,64681532000000
3268,64681307000000
2263,64683379000000
2635,-21730863000000
3379,323868951000000
2635,-21731101000000
2032,323868284000000
2983,1619872687000000
2245,6458272644000000
1752,-21727436000000
2245,6458270083000000
2635,-21730124000000
2834,4903069691000000
3844,583066745000000
3106,1447066498000000
2356,1274266333000000
